Time (s), Thrust(lbf), Chamber Pressure(psi), Mass Flow(lbm/s), Mass Ejected (lbm), Mass Flux (lbm/s/ft^2), Burn Area (in^2), Kn, Regression Rate (ft/s), Regression (in), Exit Pressure (psi), Force Coefficient, Free Volume (in^3), Volume Loading
2.7809999999998047,92.86419403481909,5.081410603746841E-4,0.4013672095317614,4.0136720953176143E-4,1.2490494927996671,390757.09687764355,353.7972537817065,0.014978465331139567,435.7366788834741,1.9068436760048748E-6,1.65466949065048,1.9852608487087408E8,2.4837591451750574,
2.7819999999998046,92.87350993733921,5.081920358085865E-4,0.4014074977631239,4.014074977631239E-4,1.2488748494940412,390777.0882688808,353.81535428295274,0.014979202485934697,435.91642930755336,1.9070349657693679E-6,1.65466949065048,1.9853310910560778E8,2.4803088330079937,
2.7829999999998045,92.88281540176669,5.082429541265734E-4,0.40144774088599916,4.014477408859992E-4,1.248700135010227,390797.0562796568,353.83343361518365,0.014979938778311358,436.09618856714076,1.9072260412014035E-6,1.65466949065048,1.9854013404455635E8,2.4768581749297525,
2.7839999999998044,92.89211042428688,5.082938153077714E-4,0.4014879388838899,4.014879388838899E-4,1.2485253493716302,390817.0009052312,353.8514917741073,0.014980674208100026,436.2759566518854,1.9074169022226526E-6,1.65466949065048,1.9854715968693024E8,2.4734071713282235,
2.7849999999998043,92.90139500108863,5.083446193313264E-4,0.40152809174031623,4.015280917403162E-4,1.248350492601687,390836.9221408691,353.86952875543636,0.014981408775131393,436.45573355143415,1.907607548754858E-6,1.65466949065048,1.985541860319394E8,2.4699558225914076,
2.785999999999804,92.91066912836494,5.083953661764073E-4,0.40156819943881406,4.015681994388141E-4,1.2481755647238584,390856.8199818404,353.88754455488845,0.014982142479236292,436.63551925543186,1.9077979807198485E-6,1.65466949065048,1.9856121307879364E8,2.466504129107472,
2.786999999999804,92.91993280231256,5.084460558222027E-4,0.4016082619629368,4.016082619629369E-4,1.2480005657616362,390876.6944234205,353.9055391681857,0.014982875320245781,436.8153137535214,1.907988198039529E-6,1.65466949065048,1.985682408267025E8,2.463052091264717,
2.787999999999804,92.92918601913216,5.084966882479235E-4,0.40164827929625446,4.016482792962544E-4,1.2478254957385395,390896.54546088993,353.92351259105516,0.014983607297991081,436.9951170353436,1.908178200635885E-6,1.65466949065048,1.985752692748752E8,2.4595997094515765,
2.788999999999804,92.93842877502844,5.085472634328023E-4,0.40168825142235365,4.016882514223537E-4,1.247650354678116,390916.37308953475,353.94146481922854,0.014984338412303603,437.1749290905372,1.908367988430986E-6,1.65466949065048,1.985822984225206E8,2.4561469840566175,
2.7899999999998037,92.94766106620973,5.085977813560912E-4,0.40172817832483826,4.017281783248383E-4,1.2474751426039425,390936.1773046456,353.95939584844217,0.014985068663014961,437.3547499087391,1.9085575613469743E-6,1.65466949065048,1.9858932826884738E8,2.4526939154685845,
